mach,planform_area,angle_of_attack,lift,induced_drag,parasitic_drag,wave_drag,total_drag,lift_over_drag
0.7,1,14.0,0.561470041266,0.045960412738,0.008941114403045455,2.5830114886846345e-05,0.054927357255932306,10.222047251424238
0.7,1,15.0,0.586265035362,0.050077379218,0.008941114403045455,3.431689298635721e-05,0.059052810514031814,9.927809197543525
0.7,1,16.0,0.606915052039,0.053622920107,0.008941114403045455,4.2852008256521066e-05,0.06260688651830197,9.694062199716313
0.7,1,17.0,0.623798588458,0.056583070506,0.008941114403045455,5.093828788109088e-05,0.06557512319692654,9.512732238179568
0.7,1,18.0,0.637011476376,0.058884324044,0.008941114403045455,5.8024756769239504e-05,0.06788346320381469,9.38389773166734
0.7,1,19.0,0.647353798346,0.060650457205,0.008941114403045455,6.406811038699776e-05,0.06965563971843244,9.293630795191675
0.7,1,20.0,0.655188127487,0.06191217536,0.008941114403045455,6.895108755883152e-05,0.07092224085060429,9.238119377349276
0.8,1,-5.0,-0.220033518195,0.006997783609,0.008749590586435308,0.00018977777206774973,0.015937151967503057,-13.806326164402735
0.8,1,-4.0,-0.176243621111,0.004486474495,0.008749590586435308,0.0002571963052319076,0.013493261386667215,-13.061602829776021
0.8,1,-3.0,-0.132305161489,0.002526949955,0.008749590586435308,0.0003414740327077632,0.011618014574143071,-11.387932132866915
0.8,1,-2.0,-0.088255314801,0.001124026259,0.008749590586435308,0.0004452302103912718,0.01031884705582658,-8.552827105928106
0.8,1,-1.0,-0.044143050122,0.000281167225,0.008749590586435308,0.0005712025344779759,0.009601960345913284,-4.597295607535792
0.8,1,0.0,0.0,0.0,0.008749590586435308,0.0007223008655231746,0.009471891451958482,0.0
0.8,1,1.0,0.044135947189,0.000281059311,0.008749590586435308,0.0009015306872728882,0.009932180584708197,4.443731848467664
0.8,1,2.0,0.088225528872,0.001123022106,0.008749590586435308,0.0011119730380617224,0.01098458573049703,8.031757504250274
0.8,1,3.0,0.132238754556,0.00252369345,0.008749590586435308,0.0013568133403302465,0.012630097376765554,10.470129454367285
0.8,1,4.0,0.176125156206,0.004478815648,0.008749590586435308,0.0016391454887395634,0.01486755172317487,11.846278357415367
0.8,1,5.0,0.219850460497,0.006983002605,0.008749590586435308,0.001962131558911701,0.01769472475034701,12.424632968234702
0.8,1,6.0,0.263371433624,0.010028621397,0.008749590586435308,0.0023288163741063267,0.021107028357541635,12.477902107422725
0.8,1,7.0,0.306651220139,0.013608430142,0.008749590586435308,0.0027421952433051675,0.025100215971740475,12.217074963986315
0.8,1,8.0,0.349653388496,0.017711504241,0.008749590586435308,0.003205141321809272,0.02966623614924458,11.786240314981903
